location,frequency,text
5,8.929561841375484,Areopagitica
10,8.374930671103716,Areopagitica
15,6.988352745424293,Areopagitica
20,7.432057681641708,Areopagitica
25,6.877426511369939,Areopagitica
30,6.100942872989462,Areopagitica
35,6.322795341098169,Areopagitica
40,6.766500277315585,Areopagitica
45,6.655574043261232,Areopagitica
50,5.879090404880754,Areopagitica
55,7.5429839156960625,Areopagitica
60,6.655574043261232,Areopagitica
65,6.655574043261232,Areopagitica
70,6.378258458125346,Areopagitica
75,6.322795341098169,Areopagitica
80,7.210205213533,Areopagitica
85,7.653910149750416,Areopagitica
90,6.655574043261232,Areopagitica
95,7.265668330560177,Areopagitica
100,6.655574043261232,Areopagitica
5,8.066527029722721,Paradise Lost
10,7.842110512667066,Paradise Lost
15,7.60522641133054,Paradise Lost
20,6.495611410333134,Paradise Lost
25,6.807301017354877,Paradise Lost
30,6.9818471972870535,Paradise Lost
35,7.056652702972272,Paradise Lost
40,6.121583881907042,Paradise Lost
45,6.545481747456613,Paradise Lost
50,5.959505286255735,Paradise Lost
55,7.031717534410532,Paradise Lost
60,6.271194893277478,Paradise Lost
65,6.7948334330740074,Paradise Lost
70,5.784959106323559,Paradise Lost
75,6.844703770197486,Paradise Lost
80,6.333532814681827,Paradise Lost
85,6.483143826052264,Paradise Lost
90,6.70756034310792,Paradise Lost
95,6.308597646120088,Paradise Lost
100,10.123678436066228,Paradise Lost
