location,frequency,length
5,9.04048807542984,>= 5
10,8.374930671103716,>= 5
15,6.988352745424293,>= 5
20,7.432057681641708,>= 5
25,6.932889628397116,>= 5
30,6.211869107043816,>= 5
35,6.378258458125346,>= 5
40,6.766500277315585,>= 5
45,6.655574043261232,>= 5
50,5.879090404880754,>= 5
55,7.598447032723239,>= 5
60,6.655574043261232,>= 5
65,6.7110371602884085,>= 5
70,6.433721575152523,>= 5
75,6.322795341098169,>= 5
80,7.210205213533,>= 5
85,7.76483638380477,>= 5
90,6.655574043261232,>= 5
95,7.265668330560177,>= 5
100,6.7110371602884085,>= 5
5,8.929561841375484,>= 10
10,8.374930671103716,>= 10
15,6.988352745424293,>= 10
20,7.432057681641708,>= 10
25,6.877426511369939,>= 10
30,6.100942872989462,>= 10
35,6.322795341098169,>= 10
40,6.766500277315585,>= 10
45,6.655574043261232,>= 10
50,5.879090404880754,>= 10
55,7.5429839156960625,>= 10
60,6.655574043261232,>= 10
65,6.655574043261232,>= 10
70,6.378258458125346,>= 10
75,6.322795341098169,>= 10
80,7.210205213533,>= 10
85,7.653910149750416,>= 10
90,6.655574043261232,>= 10
95,7.265668330560177,>= 10
100,6.655574043261232,>= 10
5,8.541320022185246,>= 20
10,7.709373266777593,>= 20
15,6.378258458125346,>= 20
20,7.04381586245147,>= 20
25,6.821963394342762,>= 20
30,5.657237936772047,>= 20
35,5.990016638935108,>= 20
40,6.4891846921797,>= 20
45,6.2673322240709926,>= 20
50,5.657237936772047,>= 20
55,7.04381586245147,>= 20
60,6.378258458125346,>= 20
65,6.2673322240709926,>= 20
70,6.045479755962285,>= 20
75,6.045479755962285,>= 20
80,7.099278979478647,>= 20
85,6.932889628397116,>= 20
90,6.156405990016639,>= 20
95,6.988352745424293,>= 20
100,6.2673322240709926,>= 20
