location,frequency,text
5,9.04048807542984,Areopagitica
10,8.374930671103716,Areopagitica
15,6.988352745424293,Areopagitica
20,7.432057681641708,Areopagitica
25,6.932889628397116,Areopagitica
30,6.211869107043816,Areopagitica
35,6.378258458125346,Areopagitica
40,6.766500277315585,Areopagitica
45,6.655574043261232,Areopagitica
50,5.879090404880754,Areopagitica
55,7.598447032723239,Areopagitica
60,6.655574043261232,Areopagitica
65,6.7110371602884085,Areopagitica
70,6.433721575152523,Areopagitica
75,6.322795341098169,Areopagitica
80,7.210205213533,Areopagitica
85,7.76483638380477,Areopagitica
90,6.655574043261232,Areopagitica
95,7.265668330560177,Areopagitica
100,6.7110371602884085,Areopagitica
