location,frequency,text
5,8.066527029722721,Paradise Lost
10,7.842110512667066,Paradise Lost
15,7.60522641133054,Paradise Lost
20,6.495611410333134,Paradise Lost
25,6.807301017354877,Paradise Lost
30,6.9818471972870535,Paradise Lost
35,7.056652702972272,Paradise Lost
40,6.121583881907042,Paradise Lost
45,6.545481747456613,Paradise Lost
50,5.959505286255735,Paradise Lost
55,7.031717534410532,Paradise Lost
60,6.271194893277478,Paradise Lost
65,6.7948334330740074,Paradise Lost
70,5.784959106323559,Paradise Lost
75,6.844703770197486,Paradise Lost
80,6.333532814681827,Paradise Lost
85,6.483143826052264,Paradise Lost
90,6.70756034310792,Paradise Lost
95,6.308597646120088,Paradise Lost
100,10.123678436066228,Paradise Lost
